User	DL	UD	PT	UP	PM	BL	UB	BM	UR	RM	Total
(aeropagitica)	11928	38	50	2	0	1733	42	0	0	0	13793
172	16	0	23	7	0	52	40	0	0	0	138
17Drew	317	1	2	0	0	37	1	0	0	0	358
23skidoo	537	8	31	6	0	131	13	0	0	0	726
52 Pickup	99	3	6	1	0	73	6	0	0	0	188
@pple	525	51	4	1	0	66	9	0	0	0	656
A Man In Black	3018	57	164	24	1	173	33	0	0	0	3470
A Train	237	6	19	4	0	51	2	2	0	0	321
A. B.	84	498	88	2	3	206	31	4	0	0	916
AA	492	5	2	1	0	10	2	0	0	0	512
ABCD	3133	29	432	27	0	61	41	0	0	2	3725
AGK	1609	116	238	58	51	552	79	0	0	60	2763
AKeen	7	3	2	0	0	0	0	0	0	0	12
AQu01rius	298	2	12	5	0	41	0	0	0	0	358
AZT2008	0	0	1	0	0	0	0	0	0	0	1
Aarktica	207	2	1	0	0	2	1	0	0	0	213
Aaron Brenneman	1025	25	41	81	1	136	13	0	0	0	1322
Academic Challenger	19658	36	182	34	0	2514	19	4	0	0	22447
Acalamari	5456	69	2803	71	161	1112	108	8	0	563	10351
Accounting4Taste	17977	42	232	12	1	73	0	0	0	2	18339
Acetic Acid	65	3	7	2	0	66	9	0	0	0	152
Acropolis now	0	0	3	0	0	0	0	0	0	0	3
Acroterion	16432	36	323	9	11	1600	42	25	0	2	18480
Adam Bishop	3630	16	43	10	1	121	22	0	0	1	3844
Adambiswanger1	75	0	15	4	0	48	1	0	0	0	143
Adambro	1476	11	27	1	3	136	6	1	0	3	1664
Adashiel	362	51	51	33	1	369	29	0	0	0	896
Addshore	523	5	3	0	2	166	7	3	0	5	714
Admiral Norton	322	3	3	0	0	6	0	0	0	2	336
Admrboltz	2711	1	26	15	0	29	8	0	0	2	2792
Aecis	3805	39	91	5	0	163	3	0	0	0	4106
Aervanath	773	92	25	4	5	40	9	2	0	0	950
After Midnight	31698	186	32	6	0	57	6	0	0	0	31985
Agathoclea	1080	35	51	5	4	165	15	1	0	1	1357
Ahoerstemeier	13540	107	43	5	1	1982	11	0	0	0	15689
Ais523	299	16	16	3	0	8	6	0	0	0	348
Aitias	3189	57	197	14	279	1132	68	38	0	71	5045
Akhilleus	856	4	39	3	3	416	29	0	0	0	1350
Akradecki	5063	51	167	3	3	302	22	31	0	0	5642
Aksi great	1926	12	26	8	1	591	30	0	0	0	2594
Al Ameer son	5	1	2	2	0	0	0	0	0	0	10
Alai	1391	17	10	3	0	42	3	0	0	0	1466
AlainV	1	0	0	0	0	0	0	0	0	0	1
Alasdair	533	3	11	1	0	221	11	0	0	0	780
Aldux	106	1	170	35	0	201	18	0	0	0	531
Ale jrb	466	1	0	0	0	104	1	0	0	0	572
Aleta	818	8	13	2	1	57	3	0	0	1	903
Alex Bakharev	1714	141	459	43	37	1725	177	5	0	0	4301
Alex S	34	4	0	0	0	0	0	0	0	0	38
Alex.muller	546	22	21	1	1	304	15	0	0	11	921
Alex756	2	0	0	0	0	0	0	0	0	0	2
Alexf	10253	76	246	10	39	3671	35	6	0	0	14336
Alhutch	621	3	15	6	0	175	9	0	0	0	829
Alison	2346	122	1067	199	108	4731	334	13	0	58	8978
AlisonW	468	11	54	3	1	120	10	0	0	0	667
AlistairMcMillan	195	13	12	1	0	55	3	0	0	0	279
AliveFreeHappy	190	1	2	0	0	2	0	0	0	0	195
Alkivar	2396	136	252	27	9	470	41	0	0	0	3331
Allen3	9849	44	138	46	9	129	5	0	0	0	10220
AllyUnion	1913	26	96	11	0	38	11	0	0	0	2095
Alphachimp	6533	108	291	146	1	3915	117	0	0	0	11111
Alteripse	2	0	2	1	0	13	1	0	0	0	19
Alvestrand	436	29	1	2	0	47	4	0	0	0	519
Amalas	1220	2	4	52	0	0	0	0	0	0	1278
Amalthea	372	20	14	4	1	13	0	0	0	1	425
Amberrock	543	7	19	3	0	115	9	0	0	0	696
Amcaja	54	3	0	1	0	58	2	0	0	0	118
Ameliorate!	317	3	46	3	2	120	8	0	0	0	499
AmiDaniel	2801	138	165	44	2	747	125	0	0	1	4023
Amire80	268	38	5	2	1	30	4	0	0	1	349
Amophar	0	0	1	0	0	0	0	0	0	0	1
Ams80	12	0	0	0	0	0	0	0	0	0	12
Anas Salloum	665	5	1	0	0	351	2	0	0	0	1024
Ancheta Wis	15	2	1	0	0	5	0	0	0	0	23
AndonicO	370	28	290	30	45	1347	51	0	0	0	2161
Andre Engels	2	0	0	0	0	1	0	0	0	0	3
Andres	3	0	1	0	0	0	0	0	0	0	4
Andrevan	656	87	20	11	0	84	28	0	1186	26	2098
