User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
(aeropagitica)	11930	38	0	0	50	2	0	1733	42	0	0	0	13795
172	16	0	0	0	23	7	0	52	40	0	0	0	138
17Drew	317	1	0	0	2	0	0	37	1	0	0	0	358
23skidoo	540	8	0	0	33	6	0	132	13	0	0	0	732
28bytes	1311	19	32	0	23	1	7	64	5	13	0	3	1478
2over0	1089	55	26	0	181	10	48	223	19	5	0	8	1664
5 albert square	756	9	396	0	119	7	29	474	11	71	0	6	1878
52 Pickup	104	3	0	0	6	1	0	73	6	0	0	0	193
7	1342	43	181	0	60	2	18	1850	20	51	0	47	3614
7SeriesBOT	6324	0	0	0	0	0	0	0	0	0	0	0	6324
@pple	575	51	0	0	7	1	0	84	9	0	0	0	727
A Man In Black	3052	63	0	0	164	24	1	179	34	0	0	0	3517
A Train	237	6	0	0	19	4	0	51	2	2	0	0	321
A. B.	167	621	0	0	198	4	5	963	39	57	0	0	2054
AA	909	7	0	0	2	2	1	14	2	0	0	0	937
ABCD	3138	29	0	0	432	27	0	62	41	2	0	2	3733
AGK	2322	183	34	67	287	66	67	940	93	36	0	68	4163
AKeen	11	7	0	0	15	1	3	3	0	0	0	0	40
AWBCPBot	0	1	0	0	0	0	0	1	1	0	0	0	3
AZT2008	0	0	0	0	1	0	0	0	0	0	0	0	1
Aarktica	207	2	0	0	1	0	0	2	1	0	0	0	213
Aaron Brenneman	1105	33	0	0	42	81	1	138	13	0	0	0	1413
Aaron Schulz	5641	84	1	0	489	2115	6	1046	107	0	0	6	9495
Abecedare	234	14	0	0	92	3	11	183	8	12	0	2	559
Academic Challenger	20005	38	0	0	183	34	0	2688	22	5	0	0	22975
Acalamari	6309	75	9	0	2948	73	210	1383	114	15	0	1514	12650
Accounting4Taste	28825	68	0	0	452	14	2	97	0	12	0	4	29474
Acdixon	164	0	5	0	9	0	0	1	0	0	0	0	179
Acetic Acid	65	3	0	0	7	2	0	66	9	0	0	0	152
