User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
(aeropagitica)	11928	38	0	0	50	2	0	1733	42	0	0	0	13793
172	16	0	0	0	23	7	0	52	40	0	0	0	138
17Drew	317	1	0	0	2	0	0	37	1	0	0	0	358
23skidoo	539	8	0	0	33	6	0	132	13	0	0	0	731
2over0	829	29	12	0	116	7	37	153	19	3	0	6	1211
52 Pickup	104	3	0	0	6	1	0	73	6	0	0	0	193
7	965	18	132	0	33	0	11	1101	14	35	0	46	2355
7SeriesBOT	5789	0	0	0	0	0	0	0	0	0	0	0	5789
@pple	527	51	0	0	4	1	0	66	9	0	0	0	658
A Man In Black	3052	63	0	0	164	24	1	179	34	0	0	0	3517
A Train	237	6	0	0	19	4	0	51	2	2	0	0	321
A. B.	167	621	0	0	197	4	5	834	39	52	0	0	1919
AA	907	7	0	0	2	2	1	14	2	0	0	0	935
ABCD	3138	29	0	0	432	27	0	62	41	2	0	2	3733
AGK	2128	130	8	0	256	61	60	589	83	8	0	65	3388
AKeen	11	7	0	0	13	0	3	3	0	0	0	0	37
AZT2008	0	0	0	0	1	0	0	0	0	0	0	0	1
Aarktica	207	2	0	0	1	0	0	2	1	0	0	0	213
Aaron Brenneman	1044	25	0	0	41	81	1	137	13	0	0	0	1342
Aaron Schulz	5641	84	1	0	488	2115	6	1046	107	0	0	6	9494
Abecedare	234	14	0	0	92	3	11	183	8	12	0	2	559
Academic Challenger	19946	38	0	0	183	34	0	2686	22	5	0	0	22914
Acalamari	5881	69	0	0	2879	72	195	1290	112	14	0	921	11433
Accounting4Taste	28825	68	0	0	452	14	2	97	0	12	0	4	29474
Acetic Acid	65	3	0	0	7	2	0	66	9	0	0	0	152
Acropolis now	0	0	0	0	3	0	0	0	0	0	0	0	3
Acroterion	36067	112	73	0	713	20	33	2748	48	114	0	19	39947
Adam Bishop	3646	17	0	0	45	13	2	121	22	0	0	1	3867
Adambiswanger1	75	0	0	0	15	4	0	48	1	0	0	0	143
Adambro	1897	17	1	0	54	1	7	229	6	8	0	5	2225
Adashiel	362	51	0	0	51	33	1	369	29	0	0	0	896
Addshore	763	11	0	0	4	1	2	222	8	4	0	5	1020
AdjustShift	164	0	0	0	17	1	1	551	2	29	0	2	767
Admiral Norton	380	6	0	0	6	0	0	6	0	0	0	2	400
Admrboltz	3032	4	0	0	34	15	1	168	11	4	0	2	3271
Aecis	3805	39	0	0	91	5	0	163	3	0	0	0	4106
Aervanath	1905	303	0	0	43	5	6	52	10	2	0	0	2326
After Midnight	41587	291	0	0	32	6	0	61	6	0	0	0	41983
Agathoclea	1136	52	0	0	52	5	4	169	16	1	0	1	1436
Ahoerstemeier	13556	107	0	0	43	5	1	2022	11	2	0	0	15747
Airplaneman	3153	51	8	0	299	7	67	76	0	1	0	4	3666
Ais523	299	16	0	0	16	3	0	8	6	0	0	0	348
