User	DL	UD	PT	UP	PM	BL	UB	BM	UR	RM	Total
(aeropagitica)	11928	38	50	2	0	1733	42	0	0	0	13793
172	16	0	23	7	0	52	40	0	0	0	138
17Drew	317	1	2	0	0	37	1	0	0	0	358
23skidoo	537	8	31	6	0	131	13	0	0	0	726
52 Pickup	99	3	6	1	0	73	6	0	0	0	188
@pple	527	51	4	1	0	66	9	0	0	0	658
A Man In Black	3031	61	164	24	1	179	34	0	0	0	3494
A Train	237	6	19	4	0	51	2	2	0	0	321
A. B.	120	505	100	2	4	237	32	6	0	0	1006
AA	492	5	2	1	0	10	2	0	0	0	512
ABCD	3138	29	432	27	0	62	41	0	0	2	3731
AGK	1714	121	241	60	54	564	82	2	0	61	2899
AKeen	7	4	2	0	1	0	0	0	0	0	14
AQu01rius	298	2	12	5	0	41	0	0	0	0	358
AZT2008	0	0	1	0	0	0	0	0	0	0	1
Aarktica	207	2	1	0	0	2	1	0	0	0	213
Aaron Brenneman	1025	25	41	81	1	136	13	0	0	0	1322
Academic Challenger	19666	36	182	34	0	2525	19	4	0	0	22466
Acalamari	5483	69	2829	71	173	1171	112	9	0	585	10502
Accounting4Taste	18567	44	244	12	2	74	0	0	0	2	18945
Acetic Acid	65	3	7	2	0	66	9	0	0	0	152
Acropolis now	0	0	3	0	0	0	0	0	0	0	3
Acroterion	18729	41	398	10	15	1750	44	48	0	2	21037
Adam Bishop	3633	17	43	11	1	121	22	0	0	1	3849
Adambiswanger1	75	0	15	4	0	48	1	0	0	0	143
Adambro	1527	11	29	1	3	138	6	1	0	3	1719
Adashiel	362	51	51	33	1	369	29	0	0	0	896
Addshore	523	5	3	1	2	166	7	3	0	5	715
AdjustShift	67	0	7	0	0	113	2	18	0	0	207
Admiral Norton	380	6	6	0	0	6	0	0	0	2	400
Admrboltz	2711	1	26	15	0	29	8	0	0	2	2792
Aecis	3805	39	91	5	0	163	3	0	0	0	4106
Aervanath	1354	168	34	5	5	41	9	2	0	0	1618
After Midnight	31698	186	32	6	0	57	6	0	0	0	31985
Agathoclea	1102	41	51	5	4	167	16	1	0	1	1388
Ahoerstemeier	13547	107	43	5	1	1992	11	0	0	0	15706
Ais523	299	16	16	3	0	8	6	0	0	0	348
Aitias	3269	60	212	16	284	1158	73	40	0	72	5184
Akhilleus	856	4	41	3	3	422	29	1	0	0	1359
Akradecki	5185	53	168	3	3	304	22	31	0	0	5769
Aksi great	1926	12	26	8	1	591	30	0	0	0	2594
Al Ameer son	6	1	2	2	0	2	0	0	0	1	14
Alai	1393	17	10	3	0	42	3	0	0	0	1468
AlainV	1	0	0	0	0	0	0	0	0	0	1
Alasdair	537	3	11	1	0	224	11	1	0	0	788
Aldux	109	1	170	35	0	201	18	0	0	0	534
Ale jrb	976	3	0	0	0	147	1	1	0	1	1129
Alex Bakharev	1721	145	464	44	39	1736	177	5	0	0	4331
Alex S	34	4	0	0	0	0	0	0	0	0	38
Alex.muller	548	22	22	1	1	305	15	0	0	11	925
Alex756	2	0	0	0	0	0	0	0	0	0	2
Alexf	11292	83	260	10	48	3998	37	7	0	0	15735
AlexiusHoratius	5	0	33	3	11	4	0	0	0	0	56
Alhutch	621	3	15	6	0	175	9	0	0	0	829
Alison	2346	122	1067	199	108	4731	334	13	0	58	8978
AlisonW	468	11	54	3	1	120	10	0	0	0	667
AlistairMcMillan	203	15	15	1	0	57	3	0	0	0	294
AliveFreeHappy	192	1	2	0	0	2	0	0	0	0	197
Alkivar	2396	136	252	27	9	470	41	0	0	0	3331
Allen3	10066	44	140	46	11	129	5	0	0	0	10441
AllyUnion	1913	26	96	11	0	38	11	0	0	0	2095
Alphachimp	6533	108	292	146	1	3917	117	0	0	0	11114
Altenmann	4944	249	264	63	16	1217	98	0	0	0	6851
Alteripse	2	0	2	1	0	13	1	0	0	0	19
Alvestrand	436	29	3	2	0	47	4	0	0	0	521
Amalas	1220	2	4	52	0	0	0	0	0	0	1278
Amalthea	1456	37	39	5	3	45	8	12	0	4	1609
Amberrock	544	7	19	3	0	115	9	0	0	0	697
Amcaja	54	3	0	1	0	58	2	0	0	0	118
Ameliorate!	317	3	46	3	2	120	8	0	0	0	499
AmiDaniel	2801	138	165	44	2	747	125	0	0	1	4023
Amire80	271	38	5	2	1	30	4	0	0	1	352
Amophar	0	0	1	0	0	0	0	0	0	0	1
Ams80	12	0	0	0	0	0	0	0	0	0	12
Anas Salloum	665	5	1	0	0	351	2	0	0	0	1024
Ancheta Wis	15	2	1	0	0	5	0	0	0	0	23
AndonicO	374	28	291	30	45	1347	51	0	0	0	2166
