User	DL	UD	PT	UP	PM	BL	UB	BM	UR	RM	Total
(aeropagitica)	11928	38	50	2	0	1733	42	0	0	0	13793
172	16	0	23	7	0	52	40	0	0	0	138
17Drew	317	1	2	0	0	37	1	0	0	0	358
23skidoo	537	8	31	6	0	131	13	0	0	0	726
52 Pickup	99	3	6	1	0	73	6	0	0	0	188
@pple	527	51	4	1	0	66	9	0	0	0	658
A Man In Black	3027	61	164	24	1	176	33	0	0	0	3486
A Train	237	6	19	4	0	51	2	2	0	0	321
A. B.	107	500	91	2	3	210	31	4	0	0	948
AA	492	5	2	1	0	10	2	0	0	0	512
ABCD	3138	29	432	27	0	61	41	0	0	2	3730
AGK	1609	116	238	58	51	552	79	0	0	60	2763
AKeen	7	4	2	0	1	0	0	0	0	0	14
AQu01rius	298	2	12	5	0	41	0	0	0	0	358
AZT2008	0	0	1	0	0	0	0	0	0	0	1
Aarktica	207	2	1	0	0	2	1	0	0	0	213
Aaron Brenneman	1025	25	41	81	1	136	13	0	0	0	1322
Academic Challenger	19658	36	182	34	0	2518	19	4	0	0	22451
Acalamari	5463	69	2811	71	165	1145	112	8	0	574	10418
Accounting4Taste	18036	43	233	12	1	73	0	0	0	2	18400
Acetic Acid	65	3	7	2	0	66	9	0	0	0	152
Acropolis now	0	0	3	0	0	0	0	0	0	0	3
Acroterion	17598	37	361	10	15	1670	43	33	0	2	19769
Adam Bishop	3632	16	43	11	1	121	22	0	0	1	3847
Adambiswanger1	75	0	15	4	0	48	1	0	0	0	143
Adambro	1510	11	27	1	3	137	6	1	0	3	1699
Adashiel	362	51	51	33	1	369	29	0	0	0	896
Addshore	523	5	3	1	2	166	7	3	0	5	715
AdjustShift	1	0	4	0	0	29	0	11	0	0	45
Admiral Norton	373	5	3	0	0	6	0	0	0	2	389
Admrboltz	2711	1	26	15	0	29	8	0	0	2	2792
Aecis	3805	39	91	5	0	163	3	0	0	0	4106
Aervanath	1101	158	26	4	5	41	9	2	0	0	1346
After Midnight	31698	186	32	6	0	57	6	0	0	0	31985
Agathoclea	1091	37	51	5	4	167	16	1	0	1	1373
Ahoerstemeier	13542	107	43	5	1	1985	11	0	0	0	15694
Ais523	299	16	16	3	0	8	6	0	0	0	348
Aitias	3189	57	197	14	279	1132	68	38	0	71	5045
Akhilleus	856	4	40	3	3	420	29	1	0	0	1356
Akradecki	5185	53	168	3	3	304	22	31	0	0	5769
Aksi great	1926	12	26	8	1	591	30	0	0	0	2594
Al Ameer son	5	1	2	2	0	2	0	0	0	1	13
Alai	1391	17	10	3	0	42	3	0	0	0	1466
AlainV	1	0	0	0	0	0	0	0	0	0	1
Alasdair	533	3	11	1	0	221	11	0	0	0	780
Aldux	106	1	170	35	0	201	18	0	0	0	531
Ale jrb	473	1	0	0	0	104	1	0	0	0	579
Alex Bakharev	1721	145	464	43	39	1732	177	5	0	0	4326
Alex S	34	4	0	0	0	0	0	0	0	0	38
Alex.muller	546	22	21	1	1	304	15	0	0	11	921
Alex756	2	0	0	0	0	0	0	0	0	0	2
Alexf	10634	80	253	10	42	3869	37	6	0	0	14931
AlexiusHoratius	0	0	21	2	6	1	0	0	0	0	30
Alhutch	621	3	15	6	0	175	9	0	0	0	829
Alison	2346	122	1067	199	108	4731	334	13	0	58	8978
AlisonW	468	11	54	3	1	120	10	0	0	0	667
AlistairMcMillan	195	13	14	1	0	57	3	0	0	0	283
AliveFreeHappy	192	1	2	0	0	2	0	0	0	0	197
Alkivar	2396	136	252	27	9	470	41	0	0	0	3331
Allen3	9961	44	138	46	9	129	5	0	0	0	10332
AllyUnion	1913	26	96	11	0	38	11	0	0	0	2095
Alphachimp	6533	108	292	146	1	3916	117	0	0	0	11113
Altenmann	4929	248	264	63	16	1206	98	0	0	0	6824
Alteripse	2	0	2	1	0	13	1	0	0	0	19
Alvestrand	436	29	3	2	0	47	4	0	0	0	521
Amalas	1220	2	4	52	0	0	0	0	0	0	1278
Amalthea	1318	28	25	4	2	22	1	2	0	1	1403
Amberrock	543	7	19	3	0	115	9	0	0	0	696
Amcaja	54	3	0	1	0	58	2	0	0	0	118
Ameliorate!	317	3	46	3	2	120	8	0	0	0	499
AmiDaniel	2801	138	165	44	2	747	125	0	0	1	4023
Amire80	268	38	5	2	1	30	4	0	0	1	349
Amophar	0	0	1	0	0	0	0	0	0	0	1
Ams80	12	0	0	0	0	0	0	0	0	0	12
Anas Salloum	665	5	1	0	0	351	2	0	0	0	1024
Ancheta Wis	15	2	1	0	0	5	0	0	0	0	23
AndonicO	371	28	291	30	45	1347	51	0	0	0	2163
