User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	Total
(aeropagitica)	11928	38	0	50	2	0	1733	42	0	0	0	13793
172	16	0	0	23	7	0	52	40	0	0	0	138
17Drew	317	1	0	2	0	0	37	1	0	0	0	358
23skidoo	537	8	0	31	6	0	131	13	0	0	0	726
52 Pickup	104	3	0	6	1	0	73	6	0	0	0	193
@pple	527	51	0	4	1	0	66	9	0	0	0	658
A Man In Black	3052	63	0	164	24	1	179	34	0	0	0	3517
A Train	237	6	0	19	4	0	51	2	2	0	0	321
A. B.	121	576	0	100	2	4	238	32	6	0	0	1079
AA	492	5	0	2	1	0	10	2	0	0	0	512
ABCD	3138	29	0	432	27	0	62	41	0	0	2	3731
AGK	1722	121	0	242	60	56	570	82	3	0	62	2918
AKeen	9	5	0	5	0	2	0	0	0	0	0	21
AQu01rius	298	2	0	12	5	0	41	0	0	0	0	358
AZT2008	0	0	0	1	0	0	0	0	0	0	0	1
Aarktica	207	2	0	1	0	0	2	1	0	0	0	213
Aaron Brenneman	1030	25	0	41	81	1	136	13	0	0	0	1327
Academic Challenger	19757	38	0	183	34	0	2651	20	5	0	0	22688
Acalamari	5532	69	0	2857	71	178	1230	112	13	0	762	10824
Accounting4Taste	21929	50	0	296	12	2	81	0	0	0	2	22372
Acetic Acid	65	3	0	7	2	0	66	9	0	0	0	152
Acropolis now	0	0	0	3	0	0	0	0	0	0	0	3
Acroterion	20356	43	0	430	10	17	1855	44	51	0	12	22818
Adam Bishop	3637	17	0	45	12	1	121	22	0	0	1	3856
Adambiswanger1	75	0	0	15	4	0	48	1	0	0	0	143
Adambro	1601	15	0	32	1	3	142	6	1	0	4	1805
Adashiel	362	51	0	51	33	1	369	29	0	0	0	896
Addshore	529	7	0	3	1	2	166	7	3	0	5	723
AdjustShift	88	0	0	13	1	1	150	2	23	0	1	279
Admiral Norton	380	6	0	6	0	0	6	0	0	0	2	400
Admrboltz	2718	1	0	26	15	0	30	9	0	0	2	2801
Aecis	3805	39	0	91	5	0	163	3	0	0	0	4106
Aervanath	1887	301	0	43	5	6	51	10	2	0	0	2305
After Midnight	31698	186	0	32	6	0	57	6	0	0	0	31985
