User,Totals
(aeropagitica),13795 
172,138 
17Drew,358 
23skidoo,732 
28bytes,2424 
2over0,1735 
5 albert square,3443 
52 Pickup,193 
7,4828 
7SeriesBOT,6403 
@pple,728 
A Man In Black,3517 
A Train,321 
A. B.,4041 
AA,942 
ABCD,3733 
AGK,13163 
AKeen,40 
AZT2008,1 
Aarktica,213 
Aaron Brenneman,1427 
Aaron Schulz,9496 
Abecedare,559 
Academic Challenger,23063 
Acalamari,13221 
Accounting4Taste,29474 
Acdixon,228 
Acetic Acid,152 
Acropolis now,3 
Acroterion,62244 
Adam Bishop,3883 
Adambiswanger1,143 
Adambro,2298 
Adashiel,896 
Addshore,4249 
AdjustShift,767 
Adjwilley,3 
Admiral Norton,400 
Admrboltz,3730 
Aecis,4106 
Aervanath,2587 
After Midnight,53342 
Agathoclea,1573 
Ahoerstemeier,15755 
Airplaneman,5351 
Ais523,348 
Aitias,5473 
Akhilleus,1383 
Akradecki,5769 
Aksi great,2597 
Al Ameer son,147 
Alai,1468 
AlainV,1 
Alasdair,801 
Aldux,550 
Ale jrb,1945 
Alex Bakharev,4641 
Alex S,38 
Alex Shih,694 
Alex.muller,965 
Alex756,2 
AlexandrDmitri,2908 
Alexandria,3362 
Alexf,62370 
AlexiusHoratius,2679 
Alhutch,829 
Alison,13034 
AlisonW,714 
AlistairMcMillan,375 
AliveFreeHappy,232 
Alkivar,3331 
Allen3,12430 
AllyUnion,2452 
Alphachimp,11150 
Altenmann,7246 
Alteripse,25 
Alvestrand,574 
Amalas,1278 
Amalthea,6245 
Amatulic,6968 
Amberrock,920 
Amcaja,118 
Ameliorate!,585 
AmiDaniel,4034 
Amire80,567 
Amophar,1 
Amorymeltzer,10219 
Ams80,12 
Anas Salloum,1024 
Ancheta Wis,36 
Andonic,2346 
Andre Engels,3 
Andres,8 
Andrevan,2269 
Andrew Gray,1944 
Andrew Levine,796 
Andrew Norman,160 
Andrew Yong,31 
Andrew c,1700 
Andrewa,358 
Andris,17 
Android79,3734 
Andrwsc,9040 
AndyZ,1041 
AnemoneProjectors,4966 
Anetode,11657 
AngelOfSadness,1693 
Angela,2665 
Angelo.romano,1524 
Angr,35954 
Angusmclellan,21259 
AniMate,573 
Animum,4581 
Anna Frodesiak,684 
Anomie,10351 
AnonEMouse,339 
Anonymous Dissident,3353 
Anonymous editor,1018 
Antandrus,14702 
Anthere,56 
Anthony Appleyard,44852 
Anthony Bradbury,25734 
AntiAbuseBot,1235 
AntonioMartin,60 
Apokryltaros,1 
Appraiser,335 
Aqwis,461 
Aranel,1145 
Arbitrarily0,2970 
Arcadian,499 
Archtransit,55 
Arctic.gnome,815 
Aris Katsaris,7 
Arjun01,1153 
Arminius,157 
ArnoldReinhold,316 
Arsenikk,520 
Art LaPella,80 
Arthur Rubin,1501 
Aruk Besadii Aora,2 
Arvindn,19 
Arwel Parry,939 
Asbestos,102 
Asterion,330 
AstroNomer,2 
Astronautics,882 
Atama,3112 
Athaenara,113111 
Atlant,699 
AuburnPilot,5475 
Audacity,39 
Aude,1848 
Auntof6,1 
Ausir,30 
Avraham,4902 
Awiseman,48 
Awolf002,15 
AxelBoldt,70 
AzaToth,2555 
B,20550 
BD2412,10845 
BDD,2132 
BOZ,882 
Babajobu,329 
Baboon Faceless,2 
Backslash Forwardslash,5029 
Bagumba,252 
Bahamut0013,3 
Bald Zebra,768 
Balloonman,472 
Banes,231 
Banno,78 
BanyanTree,3220 
Barek,2707 
Barneca,2492 
Barneca sock 1,1 
BaronLarf,458 
Barras,8 
Basalisk,890 
Bastique,770 
Bazonka,1 
Bbatsell,788 
Bbb23,5504 
Bcorr,241 
Bdesham,30 
Bduke,366 
Bearcat,10292 
Bearian,3311 
Bedford,73 
Beeblebrox,11364 
Beetstra,2514 
Bel123456,1 
Beland,243 
Bellhalla,24 
