User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
(aeropagitica)	11928	38	0	0	50	2	0	1733	42	0	0	0	13793
172	16	0	0	0	23	7	0	52	40	0	0	0	138
17Drew	317	1	0	0	2	0	0	37	1	0	0	0	358
23skidoo	539	8	0	0	33	6	0	132	13	0	0	0	731
2over0	983	37	16	0	166	9	44	191	19	5	0	8	1478
5 albert square	382	7	217	0	55	5	13	164	7	17	0	6	873
52 Pickup	104	3	0	0	6	1	0	73	6	0	0	0	193
7	1202	25	175	0	49	1	15	1578	20	45	0	47	3157
7SeriesBOT	6012	0	0	0	0	0	0	0	0	0	0	0	6012
@pple	527	51	0	0	4	1	0	66	9	0	0	0	658
A Man In Black	3052	63	0	0	164	24	1	179	34	0	0	0	3517
A Train	237	6	0	0	19	4	0	51	2	2	0	0	321
A. B.	167	621	0	0	198	4	5	961	39	57	0	0	2052
AA	907	7	0	0	2	2	1	14	2	0	0	0	935
ABCD	3138	29	0	0	432	27	0	62	41	2	0	2	3733
AGK	2214	146	12	0	274	63	64	602	85	11	0	65	3536
AKeen	11	7	0	0	15	1	3	3	0	0	0	0	40
AWBCPBot	0	1	0	0	0	0	0	1	1	0	0	0	3
AZT2008	0	0	0	0	1	0	0	0	0	0	0	0	1
Aarktica	207	2	0	0	1	0	0	2	1	0	0	0	213
Aaron Brenneman	1061	26	0	0	41	81	1	137	13	0	0	0	1360
Aaron Schulz	5641	84	1	0	489	2115	6	1046	107	0	0	6	9495
Abecedare	234	14	0	0	92	3	11	183	8	12	0	2	559
Academic Challenger	19955	38	0	0	183	34	0	2686	22	5	0	0	22923
Acalamari	6170	73	0	0	2904	73	200	1317	112	14	0	1480	12343
Accounting4Taste	28825	68	0	0	452	14	2	97	0	12	0	4	29474
Acdixon	157	0	5	0	3	0	0	0	0	0	0	0	165
Acetic Acid	65	3	0	0	7	2	0	66	9	0	0	0	152
Acropolis now	0	0	0	0	3	0	0	0	0	0	0	0	3
Acroterion	41014	129	158	0	846	20	41	3192	58	133	0	22	45613
Adam Bishop	3649	18	0	0	45	14	2	121	22	0	0	1	3872
Adambiswanger1	75	0	0	0	15	4	0	48	1	0	0	0	143
Adambro	1903	18	3	0	57	1	7	238	6	9	0	5	2247
Adashiel	362	51	0	0	51	33	1	369	29	0	0	0	896
Addshore	765	11	0	0	4	1	2	234	8	6	0	5	1036
AdjustShift	164	0	0	0	17	1	1	551	2	29	0	2	767
Admiral Norton	380	6	0	0	6	0	0	6	0	0	0	2	400
Admrboltz	3255	6	2	0	43	15	1	384	14	5	0	2	3727
Aecis	3805	39	0	0	91	5	0	163	3	0	0	0	4106
Aervanath	1905	303	0	0	43	5	6	52	10	2	0	0	2326
After Midnight	44220	296	0	0	32	6	0	61	6	0	0	0	44621
Agathoclea	1139	52	0	0	52	5	4	169	16	1	0	1	1439
