User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
(aeropagitica)	11928	38	0	0	50	2	0	1733	42	0	0	0	13793
172	16	0	0	0	23	7	0	52	40	0	0	0	138
17Drew	317	1	0	0	2	0	0	37	1	0	0	0	358
23skidoo	539	8	0	0	33	6	0	131	13	0	0	0	730
2over0	761	27	3	0	108	7	35	140	15	2	0	4	1102
52 Pickup	104	3	0	0	6	1	0	73	6	0	0	0	193
7	731	16	45	0	21	0	3	612	7	20	0	43	1498
7SeriesBOT	5627	0	0	0	0	0	0	0	0	0	0	0	5627
@pple	527	51	0	0	4	1	0	66	9	0	0	0	658
A Man In Black	3052	63	0	0	164	24	1	179	34	0	0	0	3517
A Train	237	6	0	0	19	4	0	51	2	2	0	0	321
A. B.	149	619	0	0	103	4	4	253	33	6	0	0	1171
AA	907	7	0	0	2	2	1	14	2	0	0	0	935
ABCD	3138	29	0	0	432	27	0	62	41	2	0	2	3733
AGK	2103	127	5	0	251	61	60	587	83	8	0	65	3350
AKeen	11	7	0	0	13	0	3	3	0	0	0	0	37
AZT2008	0	0	0	0	1	0	0	0	0	0	0	0	1
Aarktica	207	2	0	0	1	0	0	2	1	0	0	0	213
Aaron Brenneman	1040	25	0	0	41	81	1	136	13	0	0	0	1337
Aaron Schulz	5632	83	1	0	488	2115	6	1046	107	0	0	6	9484
Abecedare	234	14	0	0	92	3	11	183	8	12	0	2	559
Academic Challenger	19855	38	0	0	183	34	0	2678	21	5	0	0	22814
Acalamari	5881	69	0	0	2879	72	195	1290	112	14	0	921	11433
Accounting4Taste	28825	68	0	0	452	14	2	97	0	12	0	4	29474
Acetic Acid	65	3	0	0	7	2	0	66	9	0	0	0	152
Acropolis now	0	0	0	0	3	0	0	0	0	0	0	0	3
Acroterion	33642	100	20	0	635	19	30	2525	45	102	0	15	37133
Adam Bishop	3645	17	0	0	45	13	2	121	22	0	0	1	3866
Adambiswanger1	75	0	0	0	15	4	0	48	1	0	0	0	143
Adambro	1888	17	0	0	48	1	5	200	6	6	0	4	2175
Adashiel	362	51	0	0	51	33	1	369	29	0	0	0	896
Addshore	763	11	0	0	4	1	2	222	8	4	0	5	1020
AdjustShift	164	0	0	0	17	1	1	551	2	29	0	2	767
Admiral Norton	380	6	0	0	6	0	0	6	0	0	0	2	400
Admrboltz	2754	4	0	0	27	15	0	101	11	0	0	2	2914
Aecis	3805	39	0	0	91	5	0	163	3	0	0	0	4106
Aervanath	1905	303	0	0	43	5	6	51	10	2	0	0	2325
After Midnight	38198	285	0	0	32	6	0	61	6	0	0	0	38588
Agathoclea	1134	52	0	0	51	5	4	169	16	1	0	1	1433
Ahoerstemeier	13556	107	0	0	43	5	1	2021	11	2	0	0	15746
Airplaneman	1264	21	1	0	162	5	36	16	0	1	0	3	1509
Ais523	299	16	0	0	16	3	0	8	6	0	0	0	348
