User,Totals
(aeropagitica),13795 
172,138 
17Drew,358 
23skidoo,732 
28bytes,1585 
2over0,1672 
5 albert square,2293 
52 Pickup,193 
7,4229 
7SeriesBOT,6351 
@pple,727 
A Man In Black,3517 
A Train,321 
A. B.,2054 
AA,937 
ABCD,3733 
AGK,11811 
AKeen,40 
AZT2008,1 
Aarktica,213 
Aaron Brenneman,1425 
Aaron Schulz,9495 
Abecedare,559 
Academic Challenger,23051 
Acalamari,12849 
Accounting4Taste,29474 
Acdixon,204 
Acetic Acid,152 
Acropolis now,3 
Acroterion,54173 
Adam Bishop,3880 
Adambiswanger1,143 
Adambro,2252 
Adashiel,896 
Addshore,1162 
AdjustShift,767 
Admiral Norton,400 
Admrboltz,3727 
Aecis,4106 
Aervanath,2573 
After Midnight,53336 
Agathoclea,1518 
Ahoerstemeier,15755 
Airplaneman,5122 
Ais523,348 
Aitias,5473 
Akhilleus,1381 
Akradecki,5769 
Aksi great,2597 
Al Ameer son,85 
Alai,1468 
AlainV,1 
Alasdair,801 
Aldux,550 
Ale jrb,1945 
Alex Bakharev,4558 
Alex S,38 
Alex Shih,373 
Alex.muller,962 
Alex756,2 
AlexandrDmitri,2889 
Alexandria,3357 
Alexf,45721 
AlexiusHoratius,2503 
Alhutch,829 
Alison,12243 
AlisonW,705 
AlistairMcMillan,375 
AliveFreeHappy,232 
Alkivar,3331 
Allen3,12155 
AllyUnion,2452 
Alphachimp,11146 
Altenmann,7246 
Alteripse,21 
Alvestrand,566 
Amalas,1278 
Amalthea,5744 
Amatulic,2736 
Amberrock,703 
Amcaja,118 
Ameliorate!,585 
AmiDaniel,4034 
Amire80,548 
Amophar,1 
Amorymeltzer,4891 
Ams80,12 
Anas Salloum,1024 
Ancheta Wis,35 
Andonic,2313 
Andre Engels,3 
Andres,8 
Andrevan,2262 
Andrew Gray,1815 
Andrew Levine,794 
Andrew Norman,160 
Andrew Yong,31 
Andrew c,1700 
Andrewa,263 
Andris,17 
Android79,3734 
Andrwsc,8844 
AndyZ,1041 
AnemoneProjectors,4374 
Anetode,11543 
AngelOfSadness,1674 
Angela,2663 
Angelo.romano,1521 
Angr,35900 
Angusmclellan,21232 
AniMate,544 
Animum,4581 
Anomie,9701 
AnonEMouse,339 
Anonymous Dissident,3333 
Anonymous editor,1018 
Antandrus,14601 
Anthere,55 
Anthony Appleyard,40189 
Anthony Bradbury,22325 
AntiAbuseBot,1235 
AntonioMartin,59 
Apokryltaros,1 
Appraiser,335 
Aqwis,456 
Aranel,1145 
Arbitrarily0,2876 
Arcadian,499 
Archtransit,55 
Arctic.gnome,532 
Aris Katsaris,7 
Arjun01,1153 
Arminius,157 
ArnoldReinhold,271 
Arsenikk,451 
Art LaPella,78 
Arthur Rubin,1249 
Aruk Besadii Aora,2 
Arvindn,19 
Arwel Parry,930 
Asbestos,102 
Asterion,329 
AstroNomer,2 
Astronautics,882 
Atama,3059 
Athaenara,112339 
Atlant,699 
AuburnPilot,5264 
Audacity,30 
Aude,1838 
Auntof6,1 
Ausir,30 
Avraham,4731 
Awiseman,46 
Awolf002,15 
AxelBoldt,67 
AzaToth,2450 
B,16982 
BD2412,9112 
BOZ,644 
Babajobu,329 
Baboon Faceless,2 
Backslash Forwardslash,5029 
Bahamut0013,3 
Balloonman,472 
Banes,231 
Banno,78 
BanyanTree,3218 
Barek,1748 
Barneca,2492 
Barneca sock 1,1 
BaronLarf,458 
Barras,8 
Bastique,767 
Bazonka,1 
Bbatsell,788 
Bcorr,231 
Bdesham,30 
Bduke,354 
Bearcat,9198 
Bearian,3027 
Bedford,73 
Beeblebrox,9477 
Beetstra,2437 
Bel123456,1 
Beland,240 
Bellhalla,24 
Ben MacDui,1104 
Bencherlite,6818 
Bencmq,3 
Berig,44 
Betacommand,11381 
Bettia,722 
Bhadani,1920 
