User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	Total
(aeropagitica)	11928	38	0	50	2	0	1733	42	0	0	0	13793
172	16	0	0	23	7	0	52	40	0	0	0	138
17Drew	317	1	0	2	0	0	37	1	0	0	0	358
23skidoo	537	8	0	32	6	0	131	13	0	0	0	727
52 Pickup	104	3	0	6	1	0	73	6	0	0	0	193
@pple	527	51	0	4	1	0	66	9	0	0	0	658
A Man In Black	3052	63	0	164	24	1	179	34	0	0	0	3517
A Train	237	6	0	19	4	0	51	2	2	0	0	321
A. B.	121	587	0	100	2	4	238	32	6	0	0	1090
AA	493	5	0	2	1	0	10	2	0	0	0	513
ABCD	3138	29	0	432	27	0	62	41	0	0	2	3731
AGK	1726	121	0	243	60	56	574	83	3	0	62	2928
AKeen	9	5	0	8	0	2	0	0	0	0	0	24
AQu01rius	298	2	0	12	5	0	41	0	0	0	0	358
AZT2008	0	0	0	1	0	0	0	0	0	0	0	1
Aarktica	207	2	0	1	0	0	2	1	0	0	0	213
Aaron Brenneman	1030	25	0	41	81	1	136	13	0	0	0	1327
Abecedare	136	4	0	14	1	2	79	1	5	0	1	243
Academic Challenger	19760	38	0	183	34	0	2663	21	5	0	0	22704
Acalamari	5880	69	0	2867	71	187	1275	112	13	0	802	11276
Accounting4Taste	22825	51	0	323	12	2	81	0	0	0	3	23297
Acetic Acid	65	3	0	7	2	0	66	9	0	0	0	152
Acropolis now	0	0	0	3	0	0	0	0	0	0	0	3
Acroterion	22386	50	0	479	17	18	1920	44	58	0	12	24984
Adam Bishop	3638	17	0	45	13	2	121	22	0	0	1	3859
Adambiswanger1	75	0	0	15	4	0	48	1	0	0	0	143
Adambro	1612	15	0	35	1	3	147	6	2	0	4	1825
Adashiel	362	51	0	51	33	1	369	29	0	0	0	896
Addshore	556	7	0	3	1	2	183	7	4	0	5	768
AdjustShift	164	0	0	17	1	1	551	2	29	0	2	767
Admiral Norton	380	6	0	6	0	0	6	0	0	0	2	400
Admrboltz	2754	4	0	27	15	0	101	11	0	0	2	2914
Aecis	3805	39	0	91	5	0	163	3	0	0	0	4106
Aervanath	1887	301	0	43	5	6	51	10	2	0	0	2305
