User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
(aeropagitica)	11930	38	0	0	50	2	0	1733	42	0	0	0	13795
172	16	0	0	0	23	7	0	52	40	0	0	0	138
17Drew	317	1	0	0	2	0	0	37	1	0	0	0	358
23skidoo	540	8	0	0	33	6	0	132	13	0	0	0	732
28bytes	1395	109	47	0	33	1	7	112	13	20	294	16	2047
2over0	1092	55	29	0	185	10	48	229	19	5	0	8	1680
5 albert square	1065	12	564	0	175	10	53	797	11	93	0	6	2786
52 Pickup	104	3	0	0	6	1	0	73	6	0	0	0	193
7	1483	47	201	0	69	2	20	2324	20	60	0	47	4273
7SeriesBOT	6403	0	0	0	0	0	0	0	0	0	0	0	6403
@pple	575	51	0	0	7	1	0	84	9	0	0	0	727
A Man In Black	3052	63	0	0	164	24	1	179	34	0	0	0	3517
A Train	237	6	0	0	19	4	0	51	2	2	0	0	321
A. B.	201	629	4	0	202	4	6	2099	42	72	0	0	3259
AA	913	7	0	0	2	2	1	14	2	0	0	0	941
ABCD	3138	29	0	0	432	27	0	62	41	2	0	2	3733
AGK	2576	240	42	67	3995	89	3633	1523	110	92	0	77	12444
AKeen	11	7	0	0	15	1	3	3	0	0	0	0	40
AZT2008	0	0	0	0	1	0	0	0	0	0	0	0	1
Aarktica	207	2	0	0	1	0	0	2	1	0	0	0	213
Aaron Brenneman	1111	36	0	0	42	81	1	140	14	0	0	0	1425
Aaron Schulz	5642	84	1	0	489	2115	6	1046	107	0	0	6	9496
Abecedare	234	14	0	0	92	3	11	183	8	12	0	2	559
Academic Challenger	20081	39	0	0	183	34	0	2690	22	5	0	0	23054
Acalamari	6335	80	24	0	3039	74	242	1470	117	18	0	1587	12986
Accounting4Taste	28825	68	0	0	452	14	2	97	0	12	0	4	29474
Acdixon	185	0	14	0	13	0	1	2	0	0	0	0	215
Acetic Acid	65	3	0	0	7	2	0	66	9	0	0	0	152
