Date,s-index,Total,s-index+nobot,Total+nobot
2005-01,62,18440,62,18440
2005-02,59,19669,59,19669
2005-03,67,23369,67,23369
2005-04,74,24354,74,24354
2005-05,77,27423,77,27423
2005-06,81,27552,81,27552
2005-07,95,35249,95,35249
2005-08,99,45074,99,45074
2005-09,106,61195,106,61195
2005-10,119,77548,119,77548
2005-11,113,68116,113,68116
2005-12,124,73142,124,73142
2006-01,122,76613,122,76613
2006-02,131,85337,131,85337
2006-03,140,96370,140,96370
2006-04,146,102122,146,102122
2006-05,152,110934,152,110934
2006-06,141,101805,141,101805
2006-07,141,102850,141,102850
2006-08,154,132965,154,132965
2006-09,154,120051,154,120051
2006-10,164,167693,164,167693
2006-11,166,149638,166,149638
2006-12,168,138135,168,138135
2007-01,179,160270,179,160270
2007-02,175,180871,175,180871
2007-03,186,169095,186,169095
2007-04,173,174545,173,174545
2007-05,194,196343,194,196343
2007-06,164,161661,164,161661
2007-07,159,178843,159,178843
2007-08,160,174010,160,174010
2007-09,163,189744,163,189744
2007-10,171,192863,171,192337
2007-11,172,220044,172,219434
2007-12,159,210784,159,210362
2008-01,166,162230,166,162152
2008-02,157,182717,156,182468
2008-03,168,160774,167,160598
2008-04,161,176905,161,176628
2008-05,168,143514,168,143466
2008-06,153,117989,153,117905
2008-07,150,192698,150,192575
2008-08,147,119151,147,119126
2008-09,152,109772,151,109476
2008-10,154,126179,153,124700
2008-11,143,114326,143,113537
2008-12,136,196110,135,195608
2009-01,154,345928,151,343531
2009-02,139,316187,137,308575
2009-03,142,160200,139,150937
2009-04,127,125865,126,109190
2009-05,127,106390,124,92822
2009-06,142,114075,139,99467
2009-07,132,96005,130,92789
2009-08,129,92507,128,91500
2009-09,130,96093,129,94104
2009-10,129,107264,127,91607
2009-11,126,96928,124,86142
2009-12,122,102808,119,88865
2010-01,129,114719,127,97599
2010-02,128,108620,127,94656
2010-03,134,147264,131,126920
2010-04,134,97323,130,86843
2010-05,126,106870,122,94744
2010-06,117,102632,114,89652
2010-07,118,97099,115,86601
2010-08,120,92953,117,84207
2010-09,119,102950,115,91145
2010-10,122,93508,120,78789
2010-11,117,94724,116,80872
2010-12,118,92247,114,83384
2011-01,120,118433,117,99604
2011-02,121,113888,119,95723
2011-03,120,95681,118,76464
2011-04,115,81458,113,70600
2011-05,117,96172,113,85559
2011-06,114,89814,112,75426
2011-07,110,101058,107,84976
2011-08,104,127614,102,89751
2011-09,108,123851,106,81003
2011-10,111,138217,109,103717
2011-11,114,106924,111,75164
2011-12,107,158250,106,142102
2012-01,107,128709,106,113303
2012-02,103,80239,100,69487
2012-03,104,85423,103,69460
2012-04,108,80673,106,69449
2012-05,104,89624,102,77262
2012-06,101,70275,100,59384
2012-07,96,68681,94,58587
2012-08,98,90367,96,55771
2012-09,99,109399,98,56284
2012-10,100,95655,98,59893
2012-11,96,78528,94,52712
2012-12,99,65851,98,59263
2013-01,105,77152,104,61080
2013-02,93,62890,91,51816
2013-03,93,67449,92,56836
2013-04,103,68211,102,61668
2013-05,99,86395,97,66763
2013-06,98,104750,96,62710
2013-07,94,114020,93,57922
2013-08,93,103656,92,55468
2013-09,96,84497,95,84325
2013-10,96,157517,95,69054
2013-11,102,214080,101,69625
2013-12,104,142958,102,73897
2014-01,103,96374,100,73341
2014-02,97,82459,95,66490
2014-03,102,81030,100,68826
2014-04,106,72307,105,57644
2014-05,105,79916,103,66394
2014-06,99,72753,96,57719
2014-07,100,66958,97,59609
2014-08,96,63002,94,55695
2014-09,92,61256,90,56639
2014-10,97,75405,95,59425
2014-11,100,68007,97,55955
2014-12,103,95738,102,63032
2015-01,94,121638,93,61242
2015-02,102,138722,100,63338
2015-03,98,131420,97,62139
2015-04,101,94808,99,58377
2015-05,105,105675,103,70774
2015-06,104,93078,102,59933
2015-07,105,91232,104,62799
2015-08,107,84147,104,61596
2015-09,106,106921,104,73654
2015-10,101,101254,99,83036
2015-11,105,87750,104,73202
2015-12,104,89172,103,69924
2016-01,112,106009,111,67368
2016-02,107,93447,104,74601
2016-03,103,122306,101,81128
2016-04,100,194748,98,78226
2016-05,109,115565,107,90765
2016-06,102,105773,101,79035
2016-07,101,96839,99,63422
2016-08,103,98725,101,70787
2016-09,102,90299,99,64959
2016-10,105,110672,104,72652
2016-11,108,131816,106,93646
2016-12,110,152384,108,103104
2017-01,113,162497,112,95448
2017-02,109,171296,107,81178
2017-03,110,129154,108,86216
2017-04,110,147201,108,111386
2017-05,106,129819,105,92977
2017-06,102,175124,101,89046
2017-07,104,148491,101,73230
2017-08,105,142009,102,68189
2017-09,97,131925,96,71671
2017-10,98,170068,97,82025
2017-11,98,146129,94,63458
2017-12,102,140680,99,53794
2018-01,108,165285,104,78860
2018-02,96,100076,94,61608
2018-03,103,109507,101,68558
2018-04,107,93438,104,65371
2018-05,103,128011,102,94073
2018-06,95,85417,93,59725
2018-07,100,102602,97,55867
2018-08,99,87143,96,53836
