Date,s-index,Total,s-index+nobot,Total+nobot
2005-06,152,140807,152,140807
2005-07,167,157616,167,157616
2005-08,187,183021,187,183021
2005-09,199,220847,199,220847
2005-10,216,274041,216,274041
2005-11,232,314734,232,314734
2005-12,248,360324,248,360324
2006-01,257,401688,257,401688
2006-02,275,441951,275,441951
2006-03,282,477126,282,477126
2006-04,294,501700,294,501700
2006-05,304,544518,304,544518
2006-06,304,573181,304,573181
2006-07,309,599418,309,599418
2006-08,310,647046,310,647046
2006-09,318,670727,318,670727
2006-10,326,736298,326,736298
2006-11,328,775002,328,775002
2006-12,336,811332,336,811332
2007-01,344,868752,344,868752
2007-02,352,916658,352,916658
2007-03,372,965702,372,965702
2007-04,376,972554,376,972554
2007-05,393,1019259,393,1019259
2007-06,395,1042785,395,1042785
2007-07,387,1061358,387,1061358
2007-08,375,1054497,375,1054497
2007-09,373,1075146,373,1075146
2007-10,368,1093464,367,1092938
2007-11,366,1117165,366,1116029
2007-12,360,1166288,359,1164730
2008-01,363,1149675,362,1148039
2008-02,360,1158382,359,1156497
2008-03,371,1129412,370,1127351
2008-04,366,1113454,365,1111642
2008-05,357,1036924,356,1035674
2008-06,351,944129,350,943217
2008-07,341,974597,341,973640
2008-08,337,911031,336,910298
2008-09,340,860029,339,859176
2008-10,337,809303,336,807248
2008-11,325,780115,324,777319
2008-12,317,858236,317,855022
2009-01,313,1011466,311,1005978
2009-02,308,1208502,306,1195427
2009-03,308,1258930,306,1236888
2009-04,304,1258616,300,1221378
2009-05,303,1250680,300,1200663
2009-06,302,1168645,297,1104522
2009-07,293,918722,289,853780
2009-08,286,695042,281,636705
2009-09,288,630935,284,579872
2009-10,278,612334,277,562289
2009-11,283,602872,280,555609
2009-12,275,591605,273,545007
2010-01,271,610319,267,549817
2010-02,269,626432,266,552973
2010-03,271,677603,268,585789
2010-04,269,667662,264,581025
2010-05,268,677604,263,589627
2010-06,274,677428,270,590414
2010-07,275,659808,269,579416
2010-08,270,644141,263,568967
2010-09,262,599827,258,533192
2010-10,257,596012,252,525138
2010-11,250,583866,245,511266
2010-12,245,573481,240,504998
2011-01,245,594815,239,518001
2011-02,241,615750,235,529517
2011-03,242,608481,238,514836
2011-04,244,596431,237,506647
2011-05,247,597879,241,511334
2011-06,249,595446,245,503376
2011-07,246,578071,241,488748
2011-08,235,591797,233,482776
2011-09,232,619967,229,487315
2011-10,232,676726,228,520432
2011-11,224,687478,218,510037
2011-12,224,755914,220,576713
2012-01,231,783565,227,605040
2012-02,230,736190,226,584776
2012-03,232,697762,229,573233
2012-04,232,640218,228,538965
2012-05,226,622918,222,541063
2012-06,227,534943,222,458345
2012-07,216,474915,213,403629
2012-08,213,485043,211,389913
2012-09,211,509019,208,376737
2012-10,208,524001,205,367181
2012-11,207,512905,205,342631
2012-12,206,508481,203,342510
2013-01,209,516952,207,345003
2013-02,204,489475,202,341048
2013-03,205,447525,204,341600
2013-04,210,420081,209,343375
2013-05,209,427948,208,357426
2013-06,202,466847,201,360873
2013-07,202,503715,200,357715
2013-08,202,544481,200,361367
2013-09,196,561529,196,388856
2013-10,191,650835,189,396242
2013-11,194,778520,191,399104
2013-12,196,816728,194,410291
2014-01,197,799082,195,425710
2014-02,201,777885,198,436732
2014-03,204,774418,201,421233
2014-04,205,689208,202,409823
2014-05,201,555044,199,406592
2014-06,196,484839,194,390414
2014-07,196,455423,194,376682
2014-08,198,435966,196,365887
2014-09,196,416192,195,353700
2014-10,194,419290,191,355481
2014-11,195,407381,193,345042
2014-12,192,430366,191,350355
2015-01,190,485046,187,351988
2015-02,192,560766,191,359631
2015-03,193,630930,192,365131
2015-04,195,650333,193,364083
2015-05,199,688001,198,378902
2015-06,199,685341,198,375803
2015-07,204,654935,201,377360
2015-08,210,600360,208,375618
2015-09,211,575861,209,387133
2015-10,209,582307,206,411792
2015-11,208,564382,204,414220
2015-12,211,560476,208,424211
2016-01,209,575253,206,428780
2016-02,206,584553,204,441785
2016-03,209,599938,206,449259
2016-04,206,693432,204,444449
2016-05,203,721247,202,462012
2016-06,205,737848,203,471123
2016-07,195,728678,192,467177
2016-08,193,733956,191,463363
2016-09,194,701949,191,447194
2016-10,193,617873,191,441620
2016-11,199,634124,197,444501
2016-12,193,680735,192,468570
2017-01,200,746393,198,500596
2017-02,207,818964,205,510987
2017-03,210,857819,208,532244
2017-04,208,894348,206,570978
2017-05,207,892351,205,570309
2017-06,205,915091,201,556251
2017-07,196,901085,193,534033
2017-08,199,871798,194,521044
2017-09,194,874569,189,506499
2017-10,193,897436,189,477138
2017-11,192,913746,189,447619
2017-12,193,879302,189,412367
2018-01,198,896096,196,417997
2018-02,192,854163,191,411416
2018-03,195,831745,192,408303
2018-04,194,755115,190,391649
2018-05,193,736997,190,422264
2018-06,194,681734,191,428195
2018-07,192,619051,188,405202
2018-08,191,606118,187,397430
2018-09,191,586163,187,387905
