Month,S-Index,Total,S-Index+bot,Total+bot
2005-01,62,18440,62,18440
2005-02,59,19669,59,19669
2005-03,67,23369,67,23369
2005-04,74,24354,74,24354
2005-05,77,27423,77,27423
2005-06,81,27552,81,27552
2005-07,95,35249,95,35249
2005-08,99,45074,99,45074
2005-09,106,61195,106,61195
2005-10,119,77548,119,77548
2005-11,113,68116,113,68116
2005-12,124,73142,124,73142
2006-01,122,76613,122,76613
2006-02,131,85337,131,85337
2006-03,140,96370,140,96370
2006-04,146,102122,146,102122
2006-05,152,110934,152,110934
2006-06,141,101805,141,101805
2006-07,141,102850,141,102850
2006-08,154,132965,154,132965
2006-09,154,120051,154,120051
2006-10,164,167693,164,167693
2006-11,166,149638,166,149638
2006-12,168,138135,168,138135
2007-01,179,160270,179,160270
2007-02,175,180871,175,180871
2007-03,186,169095,186,169095
2007-04,173,174545,173,174545
2007-05,194,196343,194,196343
2007-06,164,161661,164,161661
2007-07,159,178843,159,178843
2007-08,160,174010,160,174010
2007-09,163,189744,163,189744
2007-10,171,192337,171,192863
2007-11,172,219434,172,220044
2007-12,159,210362,159,210784
2008-01,166,162152,166,162230
2008-02,156,182468,157,182717
2008-03,167,160598,168,160774
2008-04,161,176628,161,176905
2008-05,168,143466,168,143514
2008-06,153,117905,153,117989
2008-07,150,192575,150,192698
2008-08,147,119126,147,119151
2008-09,151,109476,152,109772
2008-10,153,124700,154,126179
2008-11,143,113537,143,114326
2008-12,135,195608,136,196110
2009-01,151,343531,154,345928
2009-02,137,308575,139,316187
2009-03,139,150937,142,160200
2009-04,126,109190,127,125865
2009-05,124,92822,127,106390
2009-06,139,99467,142,114075
2009-07,130,92789,132,96005
2009-08,128,91500,129,92507
2009-09,129,94104,130,96093
2009-10,127,91607,129,107264
2009-11,124,86142,126,96928
2009-12,119,88865,122,102808
2010-01,127,97599,129,114719
2010-02,127,94656,128,108620
2010-03,131,126920,134,147264
2010-04,130,86843,134,97323
2010-05,122,94744,126,106870
2010-06,114,89652,117,102632
2010-07,115,86601,118,97099
2010-08,117,84207,120,92953
2010-09,115,91145,119,102950
2010-10,120,78789,122,93508
2010-11,116,80872,117,94724
2010-12,114,83384,118,92247
2011-01,117,99604,120,118433
2011-02,119,95723,121,113888
2011-03,118,76464,120,95681
2011-04,113,70600,115,81458
2011-05,113,85559,117,96172
2011-06,112,75426,114,89814
2011-07,107,84976,110,101058
2011-08,102,89751,104,127614
2011-09,106,81003,108,123851
2011-10,109,103717,111,138217
2011-11,111,75164,114,106924
2011-12,106,142102,107,158250
2012-01,106,113303,107,128709
2012-02,100,69487,103,80239
2012-03,103,69460,104,85423
2012-04,106,69449,108,80673
2012-05,102,77262,104,89624
2012-06,100,59384,101,70275
2012-07,94,58587,96,68681
2012-08,96,55771,98,90367
2012-09,98,56284,99,109399
2012-10,98,59893,100,95655
2012-11,94,52712,96,78528
2012-12,98,59263,99,65851
2013-01,104,61080,105,77152
2013-02,91,51816,93,62890
2013-03,92,56836,93,67449
2013-04,102,61668,103,68211
2013-05,97,66763,99,86395
2013-06,96,62710,98,104750
2013-07,93,57922,94,114020
2013-08,92,55468,93,103656
2013-09,95,84325,96,84497
2013-10,95,69054,96,157517
2013-11,101,69625,102,214080
2013-12,102,73897,104,142958
2014-01,100,73341,103,96374
2014-02,95,66490,97,82459
2014-03,100,68826,102,81030
2014-04,105,57644,106,72307
2014-05,103,66394,105,79916
2014-06,96,57719,99,72753
2014-07,97,59609,100,66958
2014-08,94,55695,96,63002
2014-09,90,56639,92,61256
2014-10,95,59425,97,75405
2014-11,97,55955,100,68007
2014-12,102,63032,103,95738
2015-01,93,61242,94,121638
2015-02,100,63338,102,138722
2015-03,97,62139,98,131420
2015-04,99,58377,101,94808
2015-05,103,70774,105,105675
2015-06,102,59933,104,93078
2015-07,104,62799,105,91232
2015-08,104,61596,107,84147
2015-09,104,73654,106,106921
2015-10,99,83036,101,101254
2015-11,104,73202,105,87750
2015-12,103,69924,104,89172
2016-01,111,67368,112,106009
2016-02,104,74601,107,93447
2016-03,101,81128,103,122306
2016-04,98,78226,100,194748
2016-05,107,90765,109,115565
2016-06,101,79035,102,105773
2016-07,99,63422,101,96839
2016-08,101,70787,103,98725
2016-09,99,64959,102,90299
2016-10,104,72652,105,110672
2016-11,106,93646,108,131816
2016-12,108,103104,110,152384
2017-01,112,95448,113,162497
2017-02,107,81178,109,171296
2017-03,108,86216,110,129154
2017-04,108,111386,110,147201
2017-05,105,92977,106,129819
2017-06,101,89046,102,175124
2017-07,101,73230,104,148491
2017-08,102,68189,105,142009
2017-09,96,71671,97,131925
2017-10,97,82025,98,170068
2017-11,94,63458,98,146129
2017-12,99,53794,102,140680
2018-01,104,78860,108,165285
2018-02,94,61608,96,100076
2018-03,101,68558,103,109507
2018-04,104,65371,107,93438
2018-05,102,94073,103,128011
2018-06,93,59725,95,85417
2018-07,97,55867,100,102602
2018-08,96,53836,99,87143
