Month,s-index,Total,s-index+nobot,Total+nobot
2005-03,98,61478,98,61478
2005-04,113,67392,113,67392
2005-05,118,75146,118,75146
2005-06,125,79329,125,79329
2005-07,133,90224,133,90224
2005-08,148,107875,148,107875
2005-09,160,141518,160,141518
2005-10,173,183817,173,183817
2005-11,182,206859,182,206859
2005-12,195,218806,195,218806
2006-01,204,217871,204,217871
2006-02,208,235092,208,235092
2006-03,208,258320,208,258320
2006-04,227,283829,227,283829
2006-05,228,309426,228,309426
2006-06,231,314861,231,314861
2006-07,229,315589,229,315589
2006-08,234,337620,234,337620
2006-09,246,355866,246,355866
2006-10,247,420709,247,420709
2006-11,260,437382,260,437382
2006-12,263,455466,263,455466
2007-01,270,448043,270,448043
2007-02,280,479276,280,479276
2007-03,295,510236,295,510236
2007-04,288,524511,288,524511
2007-05,300,539983,300,539983
2007-06,292,532549,292,532549
2007-07,287,536847,287,536847
2007-08,257,514514,257,514514
2007-09,253,542597,253,542597
2007-10,262,556617,262,556091
2007-11,274,602651,273,601515
2007-12,276,623691,275,622133
2008-01,267,593058,266,591948
2008-02,263,555731,262,554982
2008-03,265,505721,264,505218
2008-04,262,520396,262,519694
2008-05,266,481193,265,480692
2008-06,259,438408,258,437999
2008-07,259,454201,259,453946
2008-08,242,429838,242,429606
2008-09,244,421621,244,421177
2008-10,243,355102,242,353302
2008-11,239,350277,237,347713
2008-12,229,436615,228,433845
2009-01,229,656364,226,652676
2009-02,231,858225,230,847714
2009-03,232,822315,229,803043
2009-04,224,602252,223,568702
2009-05,216,392455,213,352949
2009-06,218,346330,216,301479
2009-07,219,316470,216,285078
2009-08,217,302587,213,283756
2009-09,206,284605,204,278393
2009-10,205,295864,204,277211
2009-11,203,300285,202,271853
2009-12,193,307000,192,266614
2010-01,200,314455,196,272606
2010-02,199,326147,197,281120
2010-03,211,370603,205,319175
2010-04,217,353207,211,308419
2010-05,209,351457,204,308507
2010-06,203,306825,198,271239
2010-07,193,306601,188,270997
2010-08,193,292684,190,260460
2010-09,193,293002,189,261953
2010-10,183,289411,180,254141
2010-11,182,291182,179,250806
2010-12,180,280479,177,243045
2011-01,181,305404,176,263860
2011-02,185,324568,180,278711
2011-03,186,328002,183,271791
2011-04,189,291027,185,242787
2011-05,186,273311,184,232623
2011-06,188,267444,185,231585
2011-07,180,287044,177,245961
2011-08,168,318486,165,250153
2011-09,163,352523,159,255730
2011-10,170,389682,167,274471
2011-11,177,368992,173,259884
2011-12,180,403391,177,320983
2012-01,179,393883,175,330569
2012-02,174,367198,171,324892
2012-03,171,294371,168,252250
2012-04,168,246335,164,208396
2012-05,168,255720,165,216171
2012-06,161,240572,157,206095
2012-07,158,228580,156,195233
2012-08,161,229323,160,173742
2012-09,154,268447,152,170642
2012-10,155,295421,154,171948
2012-11,152,283582,150,168889
2012-12,156,240034,154,171868
2013-01,161,221531,159,173055
2013-02,154,205893,153,172159
2013-03,156,207491,154,169732
2013-04,151,198550,151,170320
2013-05,158,222055,157,185267
2013-06,154,259356,153,191141
2013-07,148,305165,146,187395
2013-08,146,322426,145,176100
2013-09,144,302173,143,197715
2013-10,138,345670,137,208847
2013-11,147,456094,144,223004
2013-12,147,514555,145,212576
2014-01,157,453412,156,216863
2014-02,156,321791,153,213728
2014-03,157,259863,155,208657
2014-04,156,235796,153,192960
2014-05,158,233253,155,192864
2014-06,154,224976,151,181757
2014-07,154,219627,151,183722
2014-08,151,202713,148,173023
2014-09,145,191216,143,171943
2014-10,143,199663,141,171759
2014-11,148,204668,145,172019
2014-12,149,239150,147,178412
2015-01,150,285383,149,180229
2015-02,155,356098,155,187612
2015-03,152,391780,150,186719
2015-04,155,364950,153,183854
2015-05,157,331903,155,191290
2015-06,158,293561,155,189084
2015-07,158,289985,157,193506
2015-08,164,268457,160,184328
2015-09,167,282300,164,198049
2015-10,159,292322,154,218286
2015-11,164,295925,161,229892
2015-12,162,278176,161,226162
2016-01,165,282931,162,210494
2016-02,164,288628,163,211893
2016-03,161,321762,159,223097
2016-04,155,410501,153,233955
2016-05,158,432619,157,250119
2016-06,152,416086,149,248026
2016-07,155,318177,152,233222
2016-08,148,301337,146,213244
2016-09,148,285863,146,199168
2016-10,148,299696,146,208398
2016-11,154,332787,152,231257
2016-12,159,394872,156,269402
2017-01,167,446697,164,292198
2017-02,169,486177,168,279730
2017-03,166,462947,164,262842
2017-04,158,447651,156,278780
2017-05,163,406174,161,290579
2017-06,152,452144,150,293409
2017-07,151,453434,148,255253
2017-08,154,465624,151,230465
2017-09,152,422425,148,213090
2017-10,152,444002,148,221885
2017-11,145,448122,142,217154
2017-12,147,456877,144,199277
2018-01,151,452094,148,196112
2018-02,154,406041,151,194262
2018-03,152,374868,149,209026
2018-04,153,303021,149,195537
2018-05,158,330956,153,228002
2018-06,156,306866,152,219169
2018-07,152,316030,150,209665
2018-08,149,275162,145,169428
