User,Totals
ProcseeBot,31201
RHaworth,5291
Fastily,4235
Cydebot,3865
Primefac,2960
RonBot,2923
Explicit,2453
Xezbeth,2410
Oshwah,2205
Gilliam,2048
Widr,1587
Jimfbleak,1514
JzG,1355
Amorymeltzer,1201
SQL,1167
Edgar181,1089
MER-C,1060
Dlohcierekim,963
Diannaa,954
TonyBallioni,941
Bbb23,875
BrownHairedGirl,874
Malcolmxl5,737
Cryptic,718
Amortias,702
Ronhjones,695
NeilN,682
Magog the Ogre,642
Killiondude,590
Anthony Bradbury,576
Anthony Appleyard,570
Athaenara,519
NinjaRobotPirate,474
Spartaz,451
Favonian,448
AnomieBOT III,447
Graham87,441
RickinBaltimore,427
Zzuuzz,413
JamesBWatson,407
Berean Hunter,380
Ferret,380
Plastikspork,377
Ponyo,366
Courcelles,345
Jo-Jo Eumerus,343
Acroterion,340
Yunshui,336
Mz7,308
CambridgeBayWeather,299
Timotheus Canens,297
Sandstein,277
Premeditated Chaos,274
Jni,269
Hut 8.5,265
Alexf,258
Ad Orientem,255
GB fan,250
Swarm,238
Beeblebrox,221
Drmies,219
Ged UK,213
RoySmith,208
Bishonen,206
Nthep,198
GeneralizationsAreBad,196
Seraphimblade,185
Ansh666,184
There&#039;sNoTime,176
BU Rob13,174
Sphilbrick,174
78.26,165
DGG,163
Black Falcon,163
Xaosflux,160
The Anome,149
The Blade of the Northern Lights,149
C.Fred,139
Orangemike,139
Mojo Hand,137
Yamla,137
Yamaguchi先生,135
Michig,134
DeltaQuad,133
Graeme Bartlett,125
Tavix,125
MBisanz,123
Dekimasu,120
AustralianRupert,115
Shirt58,115
Fayenatic london,106
Jauerback,99
Kuru,97
Jayron32,97
Wbm1058,97
DoRD,96
Alex Shih,94
Doug Weller,93
Spinningspark,89
Goodnightmush,88
Bagumba,87
Pharos,85
Deb,85
SoWhy,79
Smartse,79
Materialscientist,78
GiantSnowman,78
Anna Frodesiak,76
Floquenbeam,75
BDD,75
Vanjagenije,71
Fram,66
Rehman,66
Anarchyte,66
Muboshgu,64
Callanecc,63
Tassedethe,61
Mikaey,58
Vanamonde93,57
Ixfd64,56
Ivanvector,56
Cyp,55
J04n,54
Ian.thomson,52
Kudpung,52
Bearcat,51
Ritchie333,50
