Template,Count,Twinkle
R from move,636922,no
R from modification,271565,no
R from sort name,94051,no
R from alternative scientific name,86704,no
R unprintworthy,60230,no
R to anchor,43395,no
R from ISO 4 abbreviation,42384,no
R from fictional character,37699,no
R from incomplete disambiguation,33168,no
R from ambiguous sort name,30626,no
R from Unicode,27741,no
R printworthy,27516,no
R from song,27227,no
R from alternative punctuation,26033,no
R from short name,23978,no
R from ambiguous term,21162,no
R from unnecessary disambiguation,20399,no
R from drug trade name,20006,no
R from television episode,15753,no
R from gene symbol,10056,no
R avoided double redirect,9956,no
R from former name,9954,no
R to monotypic taxon,8967,no
R from ISO 639 code,8723,no
R from other disambiguation,8490,no
R from diacritic,7624,no
R from miscapitalisation,5957,no
R from monotypic taxon,5851,no
R from molecular formula,5780,no
R from album,5535,no
R from list topic,5161,no
R from fictional element,4649,no
R from NLM abbreviation,4154,no
R with history,4128,no
R from domain name,3718,no
R from birth name,2958,no
R from adjective,2052,no
R from synonym,1974,no
R from more specific name,1873,no
R from incorrect disambiguation,1847,no
R to plural,1575,no
R from given name,1540,no
R mentioned in hatnote,1455,no
R from pseudonym,1383,no
R from name with title,1372,no
R to project namespace,1315,no
R from person,1286,no
R from fictional location,1249,no
R to subtopic,947,no
R comics from alternative name,897,no
R from MathSciNet abbreviation,749,no
R from book,695,no
R from verb,692,no
R from more specific geographic name,659,no
R from less specific name,638,no
R semi-protected,637,no
R to category namespace,582,no
R taxon with possibilities,577,no
R from filename,569,no
R from scientific abbreviation,542,no
R from personal name,531,no
R to portal namespace,506,no
R to article without mention,479,no
R from numerals,465,no
R from non-neutral name,448,no
R from alternative hyphenation,439,no
R from Bluebook abbreviation,414,no
R to initialism,412,no
R from film,412,no
R to joint biography,408,no
R comics to list entry,396,no
R comics to section,371,no
R to ligature,360,no
R to ASCII-only,353,no
R from stylization,331,no
R from technical name,319,no
R to acronym,315,no
R from ISO 3166 code,299,no
R from top-level domain,286,no
R from common noun,282,no
R fully protected,252,no
R from gender,232,no
R to technical name,231,no
R from relative,223,no
R from alternative spacing,223,no
R from married name,216,no
R from ISO 15924 code,209,no
R from gerund,197,no
R from work,174,no
R from spouse,150,no
R to help namespace,148,no
R from predictable disambiguation,146,no
R from meme,117,no
R from antonym,104,no
R from postal code,103,no
R comics from merge,91,no
R from British English,91,no
R from adverb,86,no
R to template namespace,85,no
R comics naming convention,82,no
R with old history,64,no
R from template shortcut,63,no
R from American English,57,no
R from Roman numerals,47,no
R from ISO 4217 code,41,no
R from Java package name,40,no
R extended-protected,38,no
R comics with possibilities,33,no
R from television program,32,no
R from legislation,26,no
R from portmanteau,24,no
R from proper noun,22,no
R from ligature,17,no
R comics from related word,12,no
R from CAS Number,10,no
R to talk page,5,no
R from team,4,no
R wife,2,no
R from lyric,2,no
R with draft,1,no
R husband,1,no
R to draft namespace,0,no
R template-protected,0,no
R from drafts,0,no
R from category navigation,0,no
R to user namespace,0,no
R to main namespace,0,no
R category with possibilities,0,no
R from remote talk page,0,no
R from hook line,0,no
R to diacritic,408605,yes
R from other capitalisation,403769,yes
R to disambiguation page,212880,yes
R to section,201045,yes
R from alternative name,122845,yes
R from alternative spelling,89085,yes
R to scientific name,80140,yes
R with possibilities,57524,yes
R from alternative language,53400,yes
R to list entry,46269,yes
R from merge,43199,yes
R from misspelling,36147,yes
R from subtopic,34165,yes
R to related topic,32050,yes
R from scientific name,27282,yes
R from long name,23345,yes
R from surname,19972,yes
R from plural,19437,yes
R from incorrect name,5909,yes
R from related word,5608,yes
R from historic name,5088,yes
R from initialism,4640,yes
R from school,2896,yes
R from shortcut,2385,yes
R from member,2011,yes
R from file metadata link,1180,yes
R from acronym,957,yes
R from ASCII-only,885,yes
R from CamelCase,721,yes
R to decade,560,yes
R from duplicated article,491,yes
R from phrase,463,yes
R from name and country,436,yes
