Template,Count,Twinkle
R from move,1493507,no
R from modification,452294,no
R from sort name,95472,no
R from alternative scientific name,86803,no
R unprintworthy,60252,no
R to anchor,43737,no
R from ISO 4 abbreviation,42436,no
R from fictional character,37815,no
R from incomplete disambiguation,33378,no
R from ambiguous sort name,30696,no
R from Unicode,27845,no
R printworthy,27611,no
R from song,27281,no
R from alternative punctuation,26041,no
R from short name,24347,no
R from ambiguous term,21349,no
R from unnecessary disambiguation,20868,no
R from drug trade name,20023,no
R from television episode,15807,no
R from gene symbol,10058,no
R from former name,9996,no
R avoided double redirect,9971,no
R to monotypic taxon,9027,no
R from ISO 639 code,8725,no
R from other disambiguation,8621,no
R from diacritic,8186,no
R to project namespace,7192,no
R from miscapitalisation,6260,no
R from monotypic taxon,5857,no
R from molecular formula,5782,no
R from album,5552,no
R from list topic,5167,no
R from fictional element,4701,no
R with history,4554,no
R from remote talk page,4284,no
R from NLM abbreviation,4155,no
R from domain name,3729,no
R from template shortcut,3172,no
R from birth name,2966,no
R from adjective,2066,no
R from incorrect disambiguation,2011,no
R from synonym,1997,no
R from more specific name,1911,no
R to plural,1577,no
R from given name,1545,no
R mentioned in hatnote,1495,no
R from pseudonym,1385,no
R from name with title,1382,no
R from fictional location,1330,no
R from person,1295,no
R semi-protected,1246,no
R to subtopic,955,no
R to portal namespace,910,no
R to user namespace,904,no
R comics from alternative name,898,no
R from MathSciNet abbreviation,750,no
R from book,701,no
R from verb,698,no
R from less specific name,662,no
R from more specific geographic name,661,no
R to category namespace,649,no
R taxon with possibilities,578,no
R from filename,571,no
R from scientific abbreviation,545,no
R from personal name,534,no
R to main namespace,530,no
R to help namespace,507,no
R from drafts,504,no
R from alternative hyphenation,483,no
R to article without mention,482,no
R from numerals,467,no
R from non-neutral name,457,no
R from film,419,no
R to initialism,415,no
R from Bluebook abbreviation,415,no
R to joint biography,412,no
R comics to list entry,399,no
R comics to section,373,no
R to ligature,362,no
R to ASCII-only,356,no
R from stylization,333,no
R from category navigation,330,no
R fully protected,327,no
R from technical name,323,no
R to acronym,317,no
R from ISO 3166 code,301,no
R from top-level domain,288,no
R from common noun,286,no
R template-protected,244,no
R from gender,234,no
R to technical name,234,no
R from relative,228,no
R from alternative spacing,227,no
R from married name,218,no
R from ISO 15924 code,211,no
R from gerund,199,no
R to template namespace,189,no
R from work,176,no
R from predictable disambiguation,152,no
R from spouse,152,no
R with old history,141,no
R from meme,120,no
R from antonym,106,no
R from postal code,105,no
R from British English,100,no
R comics from merge,93,no
R from adverb,89,no
R comics naming convention,84,no
R from American English,67,no
R to talk page,59,no
R from Roman numerals,48,no
R extended-protected,47,no
R from ISO 4217 code,43,no
R from Java package name,42,no
R comics with possibilities,35,no
R from television program,34,no
R from legislation,28,no
R from portmanteau,26,no
R from proper noun,24,no
R from ligature,19,no
R comics from related word,14,no
R from CAS Number,12,no
R category with possibilities,8,no
R from team,6,no
R to draft namespace,5,no
R from lyric,3,no
R wife,2,no
R husband,1,no
R from hook line,1,no
R with draft,1,no
R to diacritic,408733,yes
R from other capitalisation,403772,yes
R to disambiguation page,213261,yes
R to section,204667,yes
R from alternative name,124447,yes
R from alternative spelling,89496,yes
R to scientific name,80218,yes
R with possibilities,57779,yes
R from alternative language,53588,yes
R to list entry,46611,yes
R from merge,46036,yes
R from misspelling,36572,yes
R from subtopic,34196,yes
R to related topic,32246,yes
R from scientific name,27279,yes
R from long name,23800,yes
R from shortcut,21835,yes
R from surname,19982,yes
R from plural,19474,yes
R from incorrect name,6345,yes
R from related word,6219,yes
R from historic name,5181,yes
R from initialism,4662,yes
R from school,2899,yes
R from member,2027,yes
R from file metadata link,1183,yes
R from acronym,963,yes
R from ASCII-only,895,yes
R from CamelCase,754,yes
R to decade,562,yes
R from duplicated article,519,yes
R from phrase,468,yes
R from name and country,438,yes
